#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         209    -3.77919    -3.77559  0.00095561
         210    -3.77923    -3.77561 0.000951216
         211    -3.77942    -3.77563  0.00094688
         212    -3.77978    -3.77565 0.000942616
         213       -3.78    -3.77567 0.000938411
         214    -3.78007    -3.77569 0.000934252
         215    -3.78062    -3.77571 0.000930187
         216    -3.78117    -3.77574 0.000926224
         217    -3.78143    -3.77576 0.000922327
         218     -3.7811    -3.77579 0.000918422
         219    -3.78124    -3.77581 0.000914565
         220    -3.78124    -3.77584 0.000910741
         221     -3.7814    -3.77586 0.000906967
         222    -3.78171    -3.77589 0.000903264
         223    -3.78188    -3.77592 0.000899613
         224     -3.7825    -3.77595 0.000896077
         225    -3.78282    -3.77598 0.000892616
         226    -3.78329    -3.77601 0.000889252
         227    -3.78359    -3.77604 0.000885962
         228    -3.78388    -3.77608 0.000882743
         229      -3.784    -3.77611 0.000879566
         230    -3.78394    -3.77615 0.000876401
         231    -3.78416    -3.77618 0.000873293
         232     -3.7839    -3.77621 0.000870162
         233    -3.78496    -3.77625 0.000867236
         234    -3.78522    -3.77629 0.000864377
         235    -3.78514    -3.77633  0.00086152
         236    -3.78518    -3.77636 0.000858685
         237    -3.78532     -3.7764 0.000855893
         238    -3.78528    -3.77644 0.000853109
         239     -3.7855    -3.77648 0.000850381
         240    -3.78538    -3.77651 0.000847646
         241    -3.78523    -3.77655 0.000844901
         242    -3.78521    -3.77659 0.000842166
         243    -3.78576    -3.77662 0.000839546
         244    -3.78568    -3.77666 0.000836925
         245    -3.78543     -3.7767 0.000834274
         246    -3.78532    -3.77673  0.00083162
         247    -3.78505    -3.77677 0.000828935
         248    -3.78448     -3.7768 0.000826176
         249    -3.78404    -3.77683 0.000823371
         250    -3.78346    -3.77685 0.000820505
         251    -3.78319    -3.77688 0.000817624
         252    -3.78322     -3.7769 0.000814766
         253     -3.7828    -3.77693 0.000811879
         254    -3.78285    -3.77695 0.000809018
         255    -3.78276    -3.77697 0.000806166
         256    -3.78268    -3.77699 0.000803324
         257    -3.78246    -3.77702  0.00080048
         258    -3.78255    -3.77704 0.000797665
         259    -3.78221    -3.77706 0.000794835
         260    -3.78203    -3.77708 0.000792009
         261    -3.78126    -3.77709 0.000789137
