#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         237     1.10796     1.10877 0.000614323
         238     1.12531     1.10884 0.000615662
         239     1.09937      1.1088 0.000614358
         240     1.10673     1.10879 0.000611859
         241     1.11637     1.10882 0.000610129
         242     1.11126     1.10883 0.000607691
         243     1.10112      1.1088 0.000606017
         244     1.09807     1.10875 0.000605127
         245     1.09464      1.1087 0.000605392
         246     1.09922     1.10866 0.000604155
         247     1.10347     1.10864 0.000602073
         248     1.12341      1.1087 0.000602587
         249     1.11692     1.10873 0.000601071
         250     1.10277      1.1087 0.000599139
