x	y	z
1.48157	-2.74544	-0.225807
0.971685	-3.78859	-0.628996
-0.202426	-2.90047	-0.645005
-0.891452	-2.60346	-0.30238
-0.78156	-2.61624	0.890609
-0.628045	-1.93006	0.447941
0.127747	-1.38199	-0.698859
-0.479124	-0.953559	0.118799
-0.740209	-0.544389	0.594754
-0.369506	0.430637	0.778934
0.636585	0.357975	1.90214
0.146455	0.497833	0.744483
1.14583	0.708202	0.412778
1.48725	-0.323569	0.203677
0.342161	-1.33998	0.597931
-0.286535	-0.316808	-0.191886
-0.867701	-0.276349	0.7059
-0.00263245	0.0291927	-0.171469
1.08866	-0.360357	0.0502365
0.930268	-0.405002	0.109923
-0.254106	0.0612481	0.724738
0.439229	-0.371013	0.594702
0.0453508	-0.202342	0.0776385
-0.310136	-0.766519	-0.0349837
-0.192422	-0.696083	-0.853902
0.407372	-1.06719	0.296591
0.208472	-0.796344	1.27715
-0.271589	-0.0690905	0.463554
0.143389	0.338239	1.11502
-0.498025	0.0492902	0.854229
0.246184	-0.790982	1.50973
-0.177804	0.249478	0.642486
1.00937	-0.654168	-0.236514
-0.159817	0.194969	0.145688
0.107054	0.501531	0.490091
-0.829992	0.471396	1.05221
-0.551752	-0.60393	0.61433
-0.425386	-0.149083	1.02168
-0.130123	-0.00226176	0.679038
-0.968414	0.198302	0.387029
-0.938816	0.56965	0.865564
-0.398848	-0.0379555	-0.0290181
-0.242468	0.076757	-0.579199
0.493614	0.487141	-0.00214554
-0.0388178	1.39502	0.0983174
0.426725	2.08662	-0.524449
-0.0779824	2.10853	-1.01297
0.948692	0.951378	-0.434809
0.403933	1.0426	0.0544749
-0.312931	0.421387	-0.946744
0.0781232	0.902634	-0.586779
-0.306948	0.0473803	0.183458
-0.3469	-1.11663	-0.502991
0.515075	-0.0408971	-0.792944
0.99669	-0.298231	-0.414841
1.26681	0.659516	0.733227
0.739698	0.381024	0.350003
-0.26076	0.136763	-0.350098
-0.694318	-0.109482	0.182064
-0.865253	-0.116219	0.0300242
-0.788291	-0.095877	-1.03436
-0.100505	-1.07567	-0.128695
0.442301	-0.17779	-0.173462
-0.0970729	-0.256727	0.193063
0.13386	-0.281471	-0.862656
-0.54892	0.0338928	-0.427636
-1.09341	-0.243017	-1.29551
-0.80135	-0.0931997	-0.277597
-0.455582	-0.412845	0.867727
-0.439359	-0.236306	-0.165475
-0.103881	-0.70675	-0.10617
