# BLOCK:    VELOCITY:    BLOCK_POFV:    AVE_POFV:    ERROR:
          10     2.35702    0.405064    0.378724   0.0162762
          10     2.54558    0.338527    0.392493   0.0224193
          10     2.73415    0.407667    0.351334   0.0176523
          10     2.92271     0.23828    0.294245    0.015331
          10     3.11127    0.277687    0.286705   0.0140354
          10     3.29983    0.181589    0.223321   0.0134872
          10     3.48839    0.172063    0.137206   0.0110401
          10     3.67696    0.152494    0.120115   0.0119292
          10     3.86552    0.154434    0.119319    0.015546
          10     4.05408    0.104961      0.1098  0.00975111
          10     4.24264   0.0552673   0.0870208   0.0110296
          10      4.4312   0.0664631   0.0483509  0.00949346
          10     4.61976   0.0570596   0.0423331  0.00911232
          10     4.80833   0.0653828   0.0318812  0.00747645
          10     4.99689  0.00756211   0.0199414   0.0061876
          10     5.18545  0.00331456   0.0069704   0.0016053
          10     5.37401   0.0127918    0.005539  0.00208845
          10     5.56257   0.0106066  0.00631731  0.00291586

          11   0.0942809 4.91046e-05 0.000504439 0.000346207
          11    0.282843  0.00645726  0.00761345  0.00204269
          11    0.471405   0.0313779   0.0514393  0.00804913
          11    0.659966   0.0972763   0.0973321   0.0108096
          11    0.848528    0.233689     0.12627   0.0158789
          11     1.03709    0.241276    0.204336   0.0156835
          11     1.22565    0.277613     0.31306   0.0241262
          11     1.41421     0.31562    0.323345   0.0168971
          11     1.60278    0.330204    0.320638     0.01757
          11     1.79134    0.365756    0.366042   0.0207243
          11      1.9799    0.393181    0.430364   0.0301107
          11     2.16846    0.328903    0.385108    0.015796
          11     2.35702    0.418249    0.382318   0.0151879
          11     2.54558    0.339657     0.38769   0.0208894
          11     2.73415    0.370224    0.353051   0.0161309
          11     2.92271    0.298163    0.294601   0.0139414
          11     3.11127    0.306658    0.288519   0.0128761
          11     3.29983    0.188734    0.220176   0.0126223
          11     3.48839   0.0888548     0.13281   0.0108764
          11     3.67696    0.136118     0.12157   0.0109331
          11     3.86552    0.189053    0.125659   0.0153711
          11     4.05408   0.0601041    0.105283  0.00985583
          11     4.24264   0.0780027    0.086201   0.0100573
          11      4.4312   0.0621174   0.0496024  0.00871252
          11     4.61976   0.0372459   0.0418706  0.00829566
          11     4.80833   0.0428929   0.0328823  0.00686347
          11     4.99689   0.0149033   0.0194834  0.00564201
          11     5.18545   0.0224899  0.00838127  0.00198477
          11     5.37401  0.00260255  0.00527205  0.00191558
          11     5.56257    0.010582  0.00670502  0.00267643

          12   0.0942809           0 0.000462402 0.000319899
          12    0.282843   0.0310587  0.00956722  0.00264674
          12    0.471405   0.0346679   0.0500417  0.00749873
          12    0.659966   0.0975464   0.0973499  0.00990882
          12    0.848528    0.213384     0.13353   0.0161299
          12     1.03709    0.227232    0.206244   0.0144922
          12     1.22565    0.265288    0.309079   0.0224418
          12     1.41421    0.327086    0.323657   0.0154918
          12     1.60278     0.28051    0.317294   0.0164209
          12     1.79134    0.412896    0.369946   0.0193616
          12      1.9799    0.358292    0.424358   0.0281941
          12     2.16846    0.402216    0.386533   0.0145439
          12     2.35702    0.427186    0.386057   0.0143752
          12     2.54558    0.393549    0.388178   0.0191543
          12     2.73415    0.255565    0.344927   0.0167075
          12     2.92271    0.305676    0.295524   0.0128101
          12     3.11127    0.210954    0.282055   0.0133271
          12     3.29983    0.193546    0.217957   0.0117639
          12     3.48839    0.184535    0.137121   0.0107904
          12     3.67696    0.129342    0.122217   0.0100411
          12     3.86552   0.0993632    0.123467   0.0142455
          12     4.05408    0.110338    0.105704  0.00904351
          12     4.24264   0.0988967   0.0872589   0.0092747
          12      4.4312     0.15193   0.0581297    0.011421
          12     4.61976   0.0661685   0.0438955  0.00784757
          12     4.80833  0.00920712   0.0309093  0.00656896
          12     4.99689  0.00277441    0.018091   0.0053409
          12     5.18545 0.000515599   0.0077258  0.00192457
          12     5.37401  0.00321635  0.00510074  0.00176359
          12     5.56257  0.00130127   0.0062547  0.00249099

          13   0.0942809 0.000122762 0.000436276 0.000296356
          13    0.282843  0.00245523  0.00902014  0.00249905
          13    0.471405   0.0421809    0.049437  0.00694624
          13    0.659966   0.0871607   0.0965662  0.00917755
          13    0.848528    0.168257    0.136201   0.0151088
          13     1.03709    0.161824    0.202827   0.0137743
          13     1.22565     0.22566    0.302662   0.0216134
          13     1.41421    0.395317    0.329169   0.0152494
          13     1.60278    0.352056    0.319968   0.0153739
          13     1.79134    0.529152    0.382193   0.0213976
          13      1.9799    0.365068    0.419797   0.0263917
          13     2.16846    0.546682    0.398852   0.0178975
          13     2.35702    0.391438     0.38647   0.0132753
          13     2.54558    0.251735    0.377683   0.0203543
          13     2.73415    0.229319    0.336034   0.0176309
          13     2.92271    0.181834    0.286779   0.0145059
          13     3.11127    0.265975    0.280818   0.0123592
          13     3.29983     0.16536    0.213911   0.0115338
          13     3.48839    0.181515    0.140536   0.0104868
          13     3.67696    0.131772    0.122952  0.00929561
          13     3.86552    0.138696    0.124639   0.0131977
          13     4.05408    0.150506     0.10915  0.00898054
          13     4.24264    0.193865   0.0954594   0.0116349
          13      4.4312   0.0562494    0.057985   0.0105434
          13     4.61976  0.00385471   0.0408154  0.00782504
          13     4.80833   0.0181442   0.0299274   0.0061366
          13     4.99689   0.0179968   0.0180837  0.00493007
          13     5.18545   0.0165974  0.00840822  0.00189365
          13     5.37401   0.0300275  0.00701819  0.00245844
          13     5.56257  0.00247978  0.00596432  0.00231624

          14   0.0942809 0.000294628 0.000426158  0.00027536
          14    0.282843  0.00491046   0.0087266  0.00233772
          14    0.471405   0.0500376   0.0494799  0.00645021
          14    0.659966   0.0721593   0.0948228  0.00868601
          14    0.848528    0.107736    0.134168   0.0141657
          14     1.03709    0.309605    0.210454   0.0147516
          14     1.22565    0.377246     0.30799   0.0207157
          14     1.41421    0.370003    0.332086   0.0144364
          14     1.60278     0.37899    0.324184   0.0148426
          14     1.79134    0.356058    0.380326   0.0199505
          14      1.9799    0.311201    0.412041   0.0256211
          14     2.16846    0.442015    0.401935   0.0168826
          14     2.35702     0.29917    0.380235   0.0137137
          14     2.54558    0.238329    0.367729    0.021195
          14     2.73415    0.342235    0.336477   0.0163771
          14     2.92271    0.376068    0.293156   0.0148056
          14     3.11127    0.218025    0.276333   0.0122633
          14     3.29983     0.15409    0.209638   0.0114742
          14     3.48839    0.152936    0.141421   0.0097751
          14     3.67696     0.12561    0.123142  0.00863358
          14     3.86552    0.103586    0.123135   0.0123404
          14     4.05408    0.141421    0.111455  0.00862983
          14     4.24264    0.126543   0.0976796   0.0110136
          14      4.4312   0.0893704   0.0602268   0.0100258
          14     4.61976   0.0540642   0.0417617  0.00732311
          14     4.80833   0.0342505   0.0302362  0.00570604
          14     4.99689   0.0369021   0.0194279  0.00475764
          14     5.18545   0.0137739  0.00879148  0.00179676
          14     5.37401   0.0149769  0.00758667  0.00234764
          14     5.56257  0.00169411  0.00565931  0.00217078

          15   0.0942809  0.00245523  0.00056143 0.000288321
          15    0.282843   0.0208695  0.00953612   0.0023178
          15    0.471405   0.0546535   0.0498248  0.00602941
          15    0.659966    0.100493   0.0952008  0.00811517
          15    0.848528    0.185714    0.137604   0.0136318
          15     1.03709    0.322667    0.217935   0.0155498
          15     1.22565    0.431139    0.316199   0.0208983
          15     1.41421    0.335139    0.332289   0.0134754
          15     1.60278     0.28326    0.321455   0.0141016
          15     1.79134    0.362417    0.379132   0.0186561
          15      1.9799    0.271721    0.402686   0.0255638
          15     2.16846    0.308549     0.39571    0.016866
          15     2.35702    0.362417    0.379047   0.0128508
          15     2.54558    0.266957    0.361011   0.0208195
          15     2.73415     0.23089    0.329438   0.0167298
          15     2.92271    0.434257    0.302563    0.016539
          15     3.11127    0.225464    0.272942   0.0119054
          15     3.29983    0.200175    0.209007   0.0107266
          15     3.48839    0.273586    0.150232   0.0124778
          15     3.67696    0.120871    0.122991  0.00805933
          15     3.86552   0.0462811    0.118012   0.0125363
          15     4.05408   0.0939617    0.110289  0.00813293
          15     4.24264    0.106385     0.09826   0.0102946
          15      4.4312   0.0772907   0.0613644   0.0094217
          15     4.61976   0.0662176   0.0433921  0.00701405
          15     4.80833   0.0138966   0.0291469  0.00542862
          15     4.99689    0.013381   0.0190248  0.00445751
          15     5.18545   0.0220234  0.00967361  0.00188109
          15     5.37401   0.0460602   0.0101516  0.00330775
          15     5.56257   0.0228337  0.00680427  0.00230835

          16   0.0942809  0.00193963 0.000647567 0.000282876
          16    0.282843   0.0168429  0.00999279  0.00221747
          16    0.471405   0.0381543   0.0490954  0.00569652
          16    0.659966    0.141249   0.0980788  0.00810226
          16    0.848528    0.240097     0.14401   0.0142054
          16     1.03709    0.227232    0.218516   0.0145888
          16     1.22565    0.191975    0.308435   0.0209849
