x	y	z
-15.9019	-13.8015	11.0707
-15.954	-13.8471	11.1024
-16.0061	-13.8926	11.1341
-16.0582	-13.9382	11.1658
-16.1102	-13.9837	11.1975
-16.1623	-14.0293	11.2292
-16.2144	-14.0748	11.2609
-16.2664	-14.1204	11.2926
-16.3185	-14.1659	11.3243
-16.3706	-14.2115	11.356
-16.4227	-14.257	11.3876
-16.4747	-14.3026	11.4193
-16.5268	-14.3481	11.451
-16.5789	-14.3937	11.4827
-16.631	-14.4392	11.5144
-16.683	-14.4848	11.5461
-16.7351	-14.5303	11.5778
-16.7872	-14.5759	11.6095
-16.8393	-14.6214	11.6412
-16.8913	-14.667	11.6729
-16.9434	-14.7125	11.7046
-16.9955	-14.7581	11.7363
-17.0476	-14.8036	11.7679
-17.0996	-14.8492	11.7996
-17.1517	-14.8947	11.8313
-17.2038	-14.9403	11.863
-17.2559	-14.9858	11.8947
-17.3079	-15.0314	11.9264
-17.36	-15.0769	11.9581
-17.4121	-15.1225	11.9898
-17.4642	-15.168	12.0215
-17.5162	-15.2136	12.0532
-17.5683	-15.2591	12.0849
-17.6204	-15.3047	12.1166
-17.6725	-15.3502	12.1482
-17.7245	-15.3958	12.1799
-17.7766	-15.4413	12.2116
-17.8287	-15.4869	12.2433
-17.8808	-15.5324	12.275
-17.9328	-15.578	12.3067
-17.9849	-15.6236	12.3384
-18.037	-15.6691	12.3701
-18.0891	-15.7147	12.4018
-18.1411	-15.7602	12.4335
-18.1932	-15.8058	12.4652
-18.2453	-15.8513	12.4968
-18.2973	-15.8969	12.5285
-18.3494	-15.9424	12.5602
-18.4015	-15.988	12.5919
-18.4536	-16.0335	12.6236
-18.5056	-16.0791	12.6553
-18.5577	-16.1246	12.687
-18.6098	-16.1702	12.7187
-18.6619	-16.2157	12.7504
-18.7139	-16.2613	12.7821
-18.766	-16.3068	12.8138
-18.8181	-16.3524	12.8455
-18.8702	-16.3979	12.8771
-18.9222	-16.4435	12.9088
-18.9743	-16.489	12.9405
-19.0264	-16.5346	12.9722
-19.0785	-16.5801	13.0039
-19.1305	-16.6257	13.0356
-19.1826	-16.6712	13.0673
-19.2347	-16.7168	13.099
-19.2868	-16.7623	13.1307
-19.3388	-16.8079	13.1624
-19.3909	-16.8534	13.1941
-19.443	-16.899	13.2258
