# BLOCK:    VELOCITY:    BLOCK_POFV:    AVE_POFV:    ERROR:
          12     3.86552   0.0471896    0.037207  0.00512867
          12     4.05408   0.0449062   0.0246894   0.0067912
          12     4.24264  0.00336367   0.0162577  0.00427157
          12      4.4312           0  0.00795904  0.00189172
          12     4.61976           0  0.00328183  0.00162762
          12     4.80833           0 0.000290536 0.000153161
          12     4.99689           0 0.000114577 7.74973e-05
          12     5.18545           0 5.72887e-05 5.48498e-05
          12     5.37401           0           0           0
          12     5.56257           0           0           0

          13   0.0942809 0.000417389  0.00877273  0.00241908
          13    0.282843   0.0182669   0.0390061  0.00773036
          13    0.471405   0.0923658    0.111396   0.0107277
          13    0.659966    0.285666    0.218699   0.0130674
          13    0.848528     0.31314    0.303848   0.0162898
          13     1.03709    0.373097    0.368372   0.0163913
          13     1.22565    0.397674    0.410524   0.0163436
          13     1.41421    0.407176    0.464203   0.0182643
          13     1.60278    0.451394     0.46001   0.0146962
          13     1.79134    0.515599    0.440138   0.0172954
          13      1.9799    0.477346    0.418987   0.0148692
          13     2.16846    0.437105    0.384572   0.0150166
          13     2.35702    0.365952    0.408133   0.0201331
          13     2.54558     0.29507    0.345134   0.0265761
          13     2.73415    0.279454    0.266961   0.0191399
          13     2.92271    0.180067    0.206797   0.0212359
          13     3.11127    0.114266     0.13232   0.0130112
          13     3.29983   0.0855403   0.0942582  0.00835673
          13     3.48839    0.080728   0.0774418  0.00702494
          13     3.67696   0.0460356   0.0540944  0.00806096
          13     3.86552   0.0259518   0.0363412  0.00480668
          13     4.05408   0.0548744   0.0270113  0.00665391
          13     4.24264  0.00611353   0.0154774  0.00401363
          13      4.4312           0  0.00734681  0.00184261
          13     4.61976           0  0.00302938  0.00152187
          13     4.80833           0 0.000268187    0.000143
          13     4.99689           0 0.000105764 7.20354e-05
          13     5.18545           0 5.28819e-05 5.08073e-05
          13     5.37401           0           0           0
          13     5.56257           0           0           0

          14   0.0942809 0.000392837  0.00817417  0.00231916
          14    0.282843   0.0565685   0.0402605  0.00727927
          14    0.471405    0.120282     0.11203  0.00998018
          14    0.659966     0.23418    0.219805   0.0121807
          14    0.848528    0.338208    0.306302     0.01531
          14     1.03709    0.348692    0.366966   0.0152807
          14     1.22565    0.374767     0.40797   0.0153744
          14     1.41421     0.52623    0.468634   0.0174888
          14     1.60278     0.44064    0.458627   0.0137114
          14     1.79134    0.580294    0.450149   0.0187346
          14      1.9799    0.445232    0.420862   0.0139248
          14     2.16846    0.414762    0.386729    0.014098
          14     2.35702    0.326079    0.402272   0.0195295
          14     2.54558    0.309948    0.342621   0.0247964
          14     2.73415    0.184511    0.261072   0.0186569
          14     2.92271    0.118023    0.200456   0.0206441
          14     3.11127    0.153648    0.133843   0.0121707
          14     3.29983   0.0911137   0.0940336  0.00776284
          14     3.48839    0.105108    0.079418  0.00679543
          14     3.67696   0.0604969   0.0545517  0.00749814
          14     3.86552   0.0130618   0.0346784  0.00474225
          14     4.05408   0.0230301    0.026727   0.0061847
          14     4.24264  0.00255344   0.0145543  0.00383163
          14      4.4312   0.0254608  0.00864066  0.00211707
          14     4.61976   0.0100173  0.00352852  0.00149278
          14     4.80833           0 0.000249031 0.000134063
          14     4.99689           0 9.82093e-05  6.7285e-05
          14     5.18545           0 4.91046e-05 4.73184e-05
          14     5.37401           0           0           0
          14     5.56257           0           0           0

          15   0.0942809  0.00461584  0.00793695  0.00217664
          15    0.282843   0.0125708   0.0384146  0.00702415
