# BLOCK:    VELOCITY:    BLOCK_POFV:    AVE_POFV:    ERROR:
           6     4.31597  0.00357683  0.00264441  0.00110595
           6     4.46741  0.00730652   0.0037195  0.00181828

           7   0.0757188           0  0.00420573  0.00108905
           7    0.227156   0.0190153   0.0301913   0.0112459
           7    0.378594   0.0869751   0.0849312  0.00825129
           7    0.530031    0.150624    0.134195   0.0129735
           7    0.681469    0.252916    0.306856   0.0203953
           7    0.832907    0.358325    0.374148   0.0194001
           7    0.984344    0.290365    0.343441    0.018937
           7     1.13578    0.392229    0.368588  0.00973011
           7     1.28722    0.459822    0.482257   0.0226416
           7     1.43866    0.517143    0.508526   0.0276178
           7     1.59009    0.428303    0.504045   0.0387554
           7     1.74153    0.511701    0.406047   0.0367776
           7     1.89297    0.571009    0.432936   0.0270016
           7     2.04441    0.485165    0.458926   0.0110399
           7     2.19584    0.308586    0.391285   0.0177232
           7     2.34728    0.320142    0.327736   0.0139603
           7     2.49872    0.328702    0.275848    0.023462
           7     2.65016    0.280155    0.307704  0.00845471
           7     2.80159    0.144755    0.212081   0.0196122
           7     2.95303    0.131426    0.137435   0.0114638
           7     3.10447    0.137387    0.141916   0.0108759
           7     3.25591    0.108803    0.103283   0.0144349
           7     3.40735    0.117485   0.0898444   0.0101904
           7     3.55878   0.0663395   0.0528576   0.0145985
           7     3.71022    0.045062   0.0324011  0.00644575
           7     3.86166   0.0142768   0.0283089  0.00713765
           7      4.0131   0.0151939   0.0182597  0.00495366
           7     4.16453  0.00990507   0.0101715   0.0037247
           7     4.31597   0.0342398  0.00715803  0.00428497
           7     4.46741   0.0119839  0.00490013  0.00190362

           8   0.0757188 0.000366855  0.00372587  0.00105334
           8    0.227156   0.0493419   0.0325851   0.0100918
           8    0.378594    0.060531   0.0818812  0.00776315
           8    0.530031     0.17178    0.138893   0.0121728
           8    0.681469    0.203574    0.293946    0.021548
           8    0.832907    0.242338    0.357672   0.0229279
           8    0.984344      0.2494    0.331686   0.0198865
           8     1.13578    0.359028    0.367393  0.00858691
           8     1.28722    0.405833    0.472704   0.0217335
           8     1.43866    0.539184    0.512358     0.02443
           8     1.59009    0.490576    0.502361   0.0339475
           8     1.74153    0.696718    0.442381    0.046805
           8     1.89297    0.604607    0.454395    0.031002
           8     2.04441    0.444567    0.457131  0.00980478
           8     2.19584    0.368016    0.388377   0.0157447
           8     2.34728    0.317268    0.326428   0.0122765
           8     2.49872    0.272817     0.27547   0.0205323
           8     2.65016    0.221764    0.296961   0.0124782
           8     2.80159    0.156127    0.205087   0.0183656
           8     2.95303    0.156341    0.139798   0.0102715
           8     3.10447    0.156953    0.143796  0.00967748
           8     3.25591    0.130692    0.106709   0.0130308
           8     3.40735    0.113847   0.0928448  0.00934787
           8     3.55878   0.0538665   0.0529837   0.0127742
           8     3.71022    0.043136    0.033743  0.00577801
           8     3.86166   0.0479662   0.0307661  0.00665496
           8      4.0131   0.0232953   0.0188892  0.00437426
           8     4.16453   0.0205439    0.011468  0.00347746
           8     4.31597  0.00290427  0.00662631   0.0037822
           8     4.46741           0  0.00428761  0.00176145

           9   0.0757188  0.00259855  0.00360061 0.000943721
           9    0.227156   0.0954739   0.0395727   0.0111297
           9    0.378594      0.1081   0.0847944  0.00742709
           9    0.530031    0.183794    0.143882   0.0117984
           9    0.681469    0.174745    0.280701   0.0228647
           9    0.832907     0.21513    0.341834   0.0252652
           9    0.984344    0.368383    0.335764   0.0180901
